"","fips","month","av_tem"
"889","12049",9,81.6
"890","12049",10,79.5
"891","12051",1,66
"892","12051",2,68.8
"893","12051",3,72.7
"894","12051",4,76.5
"895","12051",5,76.9
"896","12051",6,82
"897","12051",7,83.4
"898","12051",8,84
"899","12051",9,81.6
"900","12051",10,79.6
"901","12053",1,62
"902","12053",2,64.4
"903","12053",3,71.4
"904","12053",4,74
"905","12053",5,76.6
"906","12053",6,81.8
"907","12053",7,83.4
"908","12053",8,83.5
"909","12053",9,81.8
"910","12053",10,78.6
"911","12055",1,64.1
"912","12055",2,67.4
"913","12055",3,71.4
"914","12055",4,75.5
"915","12055",5,76.6
"916","12055",6,81.5
"917","12055",7,83.2
"918","12055",8,83.8
"919","12055",9,81.5
"920","12055",10,79.3
"921","12057",1,46.6
"922","12057",2,47.75
"923","12057",3,55.65
"924","12057",4,58.95
"925","12057",5,66.9
"926","12057",6,75.05
"927","12057",7,79.15
"928","12057",8,77.15
"929","12057",9,71.75
"930","12057",10,64.95
"931","12059",1,45.9
"932","12059",2,45.9666666666667
"933","12059",3,58.5666666666667
"934","12059",4,58.8333333333333
"935","12059",5,66.5666666666667
"936","12059",6,75.6333333333333
"937","12059",7,80.0333333333333
"938","12059",8,77.9333333333333
"939","12059",9,72.3
"940","12059",10,63.0666666666667
"941","12061",1,64.7
"942","12061",2,67.3
"943","12061",3,71.6
"944","12061",4,74.5
"945","12061",5,75.9
"946","12061",6,80.4
"947","12061",7,83.1
"948","12061",8,83.7
"949","12061",9,82
"950","12061",10,78.9
"951","12073",1,53.6
"952","12073",2,53.95
"953","12073",3,67.15
"954","12073",4,66.75
"955","12073",5,73.25
"956","12073",6,79.7
"957","12073",7,82.95
"958","12073",8,83
"959","12073",9,76.7
"960","12073",10,70.55
"961","12075",1,59.2
"962","12075",2,60.1
"963","12075",3,69.3
"964","12075",4,71.6
"965","12075",5,75.3
"966","12075",6,81
"967","12075",7,82.9
"968","12075",8,83
"969","12075",9,80.4
"970","12075",10,76.8
"971","12077",1,47.225
"972","12077",2,49.025
"973","12077",3,58.475
"974","12077",4,60.325
"975","12077",5,68.6
"976","12077",6,75.025
"977","12077",7,78.825
"978","12077",8,78.775
"979","12077",9,72.8
"980","12077",10,63.575
"981","12081",1,64.1
"982","12081",2,66.5
"983","12081",3,72.2
"984","12081",4,74.6
"985","12081",5,76.9
"986","12081",6,82.4
"987","12081",7,84.1
"988","12081",8,83.7
"989","12081",9,81.7
"990","12081",10,79.6
"991","12085",1,43.3333333333333
"992","12085",2,43.4666666666667
"993","12085",3,54.1833333333333
"994","12085",4,57.7166666666667
"995","12085",5,66.2333333333333
"996","12085",6,75.7333333333333
"997","12085",7,80.15
"998","12085",8,78.05
"999","12085",9,70.2166666666667
"1000","12085",10,61.1666666666667
"1001","12086",1,69.6
"1002","12086",2,71.9
"1003","12086",3,74.6
"1004","12086",4,79.8
"1005","12086",5,78.5
"1006","12086",6,83.2
"1007","12086",7,84.2
"1008","12086",8,85.3
"1009","12086",9,83.4
"1010","12086",10,81.4
"1011","12089",1,48.35
"1012","12089",2,48.65
"1013","12089",3,57.7
"1014","12089",4,59
"1015","12089",5,66.1
"1016","12089",6,75.45
"1017","12089",7,80.65
"1018","12089",8,78.9
"1019","12089",9,73.3
"1020","12089",10,65.75
"1021","12091",1,54.1
"1022","12091",2,56.4
"1023","12091",3,68.2
"1024","12091",4,67.4
"1025","12091",5,72.7
"1026","12091",6,79.8
"1027","12091",7,82.1
"1028","12091",8,82
"1029","12091",9,77.3
"1030","12091",10,72.2
