"","countyfp","facemask_never","facemask_rarely","facemask_sometimes","facemask_frequently","facemask_always","fips"
"333","12027",0.023,0.064,0.056,0.142,0.715,12027
"334","12029",0.071,0.095,0.119,0.318,0.397,12029
"335","12031",0.049,0.042,0.086,0.194,0.629,12031
"336","12033",0.019,0.052,0.095,0.31,0.524,12033
"337","12035",0.079,0.05,0.113,0.157,0.602,12035
"338","12037",0.022,0.101,0.237,0.228,0.412,12037
"339","12039",0.06,0.033,0.104,0.227,0.575,12039
"340","12041",0.016,0.151,0.069,0.324,0.44,12041
"341","12043",0.047,0.082,0.098,0.096,0.677,12043
"342","12045",0.046,0.125,0.12,0.249,0.46,12045
"343","12047",0.101,0.071,0.235,0.227,0.365,12047
"344","12049",0.114,0.041,0.179,0.186,0.48,12049
"345","12051",0.046,0.042,0.112,0.15,0.65,12051
"346","12053",0.09,0.04,0.091,0.19,0.589,12053
"347","12055",0.025,0.056,0.145,0.138,0.635,12055
"348","12057",0.023,0.031,0.069,0.155,0.722,12057
"349","12059",0.17,0.077,0.081,0.111,0.562,12059
"350","12061",0.054,0.065,0.082,0.193,0.607,12061
"351","12063",0.064,0.108,0.129,0.174,0.526,12063
"352","12065",0.019,0.017,0.099,0.183,0.682,12065
"353","12067",0.102,0.081,0.22,0.208,0.389,12067
"354","12069",0.047,0.062,0.074,0.185,0.632,12069
"355","12071",0.052,0.05,0.073,0.176,0.648,12071
"356","12073",0.051,0.022,0.071,0.156,0.7,12073
"357","12075",0.017,0.132,0.072,0.187,0.592,12075
"358","12077",0.022,0.023,0.205,0.268,0.482,12077
"359","12079",0.164,0.085,0.148,0.264,0.34,12079
"360","12081",0.074,0.037,0.062,0.201,0.626,12081
"361","12083",0.046,0.087,0.121,0.203,0.543,12083
"362","12085",0.027,0.018,0.066,0.169,0.719,12085
"363","12086",0.032,0.023,0.06,0.128,0.756,12086
"364","12087",0.007,0.001,0.014,0.159,0.819,12087
"365","12089",0.09,0.07,0.147,0.223,0.47,12089
"366","12091",0.091,0.083,0.147,0.21,0.469,12091
"367","12093",0.016,0.034,0.064,0.171,0.715,12093
"368","12095",0.02,0.02,0.072,0.164,0.724,12095
"369","12097",0.025,0.022,0.058,0.176,0.72,12097
"370","12099",0.03,0.02,0.05,0.116,0.784,12099
"371","12101",0.027,0.029,0.055,0.179,0.709,12101
"372","12103",0.025,0.019,0.074,0.133,0.75,12103
"373","12105",0.05,0.063,0.085,0.172,0.63,12105
"374","12107",0.068,0.05,0.114,0.186,0.581,12107
"375","12109",0.047,0.071,0.097,0.223,0.561,12109
"376","12111",0.077,0.022,0.08,0.173,0.648,12111
"377","12113",0.047,0.068,0.166,0.265,0.453,12113
"378","12115",0.017,0.031,0.073,0.175,0.704,12115
"379","12117",0.037,0.039,0.066,0.141,0.717,12117
"380","12119",0.037,0.036,0.064,0.235,0.628,12119
"381","12121",0.105,0.055,0.244,0.227,0.369,12121
"382","12123",0.103,0.086,0.19,0.145,0.476,12123
"383","12125",0.044,0.04,0.176,0.267,0.473,12125
"384","12127",0.035,0.066,0.089,0.192,0.618,12127
"385","12129",0.032,0.092,0.172,0.275,0.429,12129
"386","12131",0.092,0.06,0.092,0.244,0.512,12131
"387","12133",0.138,0.085,0.062,0.158,0.557,12133
"388","13001",0.085,0.117,0.23,0.152,0.416,13001
"389","13003",0.059,0.1,0.179,0.217,0.445,13003
"390","13005",0.071,0.132,0.187,0.188,0.421,13005
"391","13007",0.027,0.048,0.054,0.127,0.743,13007
"392","13009",0.02,0.089,0.107,0.29,0.494,13009
"393","13011",0.136,0.103,0.125,0.238,0.399,13011
"394","13013",0.063,0.086,0.092,0.19,0.568,13013
"395","13015",0.215,0.05,0.123,0.143,0.47,13015
"396","13017",0.129,0.078,0.109,0.202,0.483,13017
"397","13019",0.073,0.098,0.156,0.214,0.46,13019
"398","13021",0.043,0.094,0.176,0.201,0.487,13021
"399","13023",0.089,0.031,0.117,0.256,0.508,13023
"400","13025",0.047,0.129,0.15,0.164,0.51,13025
"401","13027",0.092,0.165,0.124,0.235,0.385,13027
"402","13029",0.033,0.039,0.095,0.238,0.595,13029
"403","13031",0.053,0.049,0.163,0.31,0.424,13031
"404","13033",0.105,0.109,0.087,0.208,0.492,13033
"405","13035",0.125,0.037,0.144,0.163,0.53,13035
"406","13037",0.013,0.035,0.043,0.172,0.737,13037
"407","13039",0.136,0.125,0.17,0.113,0.456,13039
"408","13043",0.037,0.045,0.177,0.264,0.477,13043
"409","13045",0.089,0.133,0.154,0.168,0.457,13045
"410","13047",0.143,0.152,0.114,0.217,0.375,13047
"411","13049",0.065,0.094,0.15,0.196,0.495,13049
"412","13051",0.035,0.04,0.144,0.158,0.624,13051
"413","13053",0.061,0.072,0.108,0.214,0.545,13053
"414","13055",0.116,0.102,0.187,0.143,0.451,13055
"415","13057",0.049,0.054,0.1,0.213,0.584,13057
"416","13059",0.054,0.057,0.06,0.226,0.603,13059
"417","13061",0.028,0.066,0.12,0.223,0.562,13061
"418","13063",0.038,0.054,0.125,0.159,0.624,13063
"419","13065",0.06,0.058,0.134,0.168,0.58,13065
"420","13067",0.039,0.049,0.116,0.225,0.572,13067
"421","13069",0.085,0.124,0.164,0.222,0.404,13069
"422","13071",0.108,0.191,0.074,0.233,0.394,13071
"423","13073",0.061,0.064,0.095,0.234,0.547,13073
"424","13075",0.098,0.134,0.123,0.203,0.441,13075
"425","13077",0.105,0.053,0.183,0.204,0.455,13077
"426","13079",0.057,0.051,0.231,0.192,0.468,13079
"427","13081",0.119,0.023,0.06,0.163,0.635,13081
"428","13083",0.128,0.222,0.13,0.249,0.27,13083
"429","13085",0.049,0.09,0.128,0.162,0.571,13085
"430","13087",0.093,0.04,0.171,0.18,0.516,13087
"431","13089",0.036,0.028,0.075,0.156,0.704,13089
"432","13091",0.145,0.025,0.15,0.236,0.443,13091
"433","13093",0.077,0.034,0.058,0.204,0.627,13093
"434","13095",0.033,0.037,0.045,0.159,0.726,13095
"435","13097",0.083,0.037,0.09,0.198,0.591,13097
"436","13099",0.045,0.062,0.156,0.253,0.485,13099
"437","13101",0.097,0.073,0.182,0.202,0.446,13101
"438","13103",0.044,0.064,0.145,0.272,0.475,13103
"439","13105",0.132,0.177,0.081,0.107,0.503,13105
"440","13107",0.062,0.044,0.142,0.252,0.5,13107
"441","13109",0.03,0.078,0.229,0.29,0.372,13109
"442","13111",0.075,0.088,0.125,0.112,0.6,13111
"443","13113",0.06,0.086,0.131,0.218,0.505,13113
"444","13115",0.186,0.036,0.234,0.148,0.395,13115
"445","13117",0.035,0.048,0.083,0.193,0.641,13117
"446","13119",0.168,0.074,0.117,0.215,0.425,13119
"447","13121",0.026,0.036,0.089,0.187,0.662,13121
"448","13123",0.128,0.042,0.087,0.198,0.545,13123
"449","13125",0.156,0.066,0.107,0.13,0.541,13125
"450","13127",0.048,0.071,0.145,0.251,0.485,13127
"451","13129",0.172,0.1,0.201,0.157,0.369,13129
"452","13131",0.063,0.139,0.116,0.264,0.417,13131
"453","13133",0.062,0.046,0.057,0.176,0.658,13133
"454","13135",0.036,0.054,0.081,0.19,0.639,13135
"455","13137",0.063,0.1,0.116,0.292,0.43,13137
"456","13139",0.061,0.069,0.128,0.198,0.545,13139
"457","13141",0.043,0.111,0.102,0.168,0.575,13141
"458","13143",0.184,0.123,0.165,0.184,0.345,13143
"459","13145",0.093,0.081,0.061,0.213,0.551,13145
"460","13147",0.092,0.061,0.14,0.207,0.5,13147
"461","13149",0.126,0.094,0.166,0.144,0.471,13149
"462","13151",0.103,0.048,0.091,0.181,0.578,13151
"463","13153",0.032,0.079,0.136,0.172,0.581,13153
"464","13155",0.098,0.091,0.126,0.224,0.46,13155
"465","13157",0.125,0.085,0.117,0.24,0.434,13157
"466","13159",0.082,0.059,0.181,0.118,0.56,13159
"467","13161",0.124,0.138,0.165,0.183,0.39,13161
"468","13163",0.251,0.055,0.099,0.102,0.493,13163
"469","13165",0.114,0.053,0.084,0.261,0.488,13165
"470","13167",0.119,0.053,0.109,0.251,0.468,13167
"471","13169",0.049,0.087,0.226,0.209,0.43,13169
"472","13171",0.07,0.06,0.171,0.293,0.406,13171
"473","13173",0.102,0.07,0.145,0.181,0.502,13173
"474","13175",0.122,0.056,0.141,0.291,0.391,13175
